eqp_id,age_id_prop,nomelongo,ins_id
ACCS--2TR1,ZOP,TR 230 / 69 kV CRUZEIRO SUL 1 AC,ACCS
ACCS--2TR2,ZOP,TR 230 / 69 kV CRUZEIRO SUL 2 AC,ACCS
ACFJ--2CS1,ZOP,TR 230 / 9P0 kV FEIJO CS1 AC,ACFJ
ACFJ--2CS2,ZOP,TR 230 / 9P0 kV FEIJO CS2 AC,ACFJ
ACFJ--2TR1,ZOP,TR 230 / 69 kV FEIJO 1 AC,ACFJ
ACFJ--2TR2,ZOP,TR 230 / 69 kV FEIJO 2 AC,ACFJ
ACRB--2ATR1,ENT,TR 230 / 138 kV RIO BRANCO I ATR1 AC,ACRB
ACRB--2ATR2,ENT,TR 230 / 138 kV RIO BRANCO I ATR2 AC,ACRB
ACRB--2TF1,ENT,TR 230 / 69 kV RIO BRANCO I TF1 AC,ACRB
ACRB--2TF2,ENT,TR 230 / 69 kV RIO BRANCO I TF2 AC,ACRB
ACRB--2TF3,ENT,TR 230 / 69 kV RIO BRANCO I TF3 AC,ACRB
ACRB--2TF4,ENT,TR 230 / 13P9 kV RIO BRANCO I TF4 AC,ACRB
ACRB--2TF5,ENT,TR 230 / 69 kV RIO BRANCO I TF5 AC,ACRB
ACTC--2TR1,EDP,TR 230 / 69 kV TUCUMA 1 AC,ACTC
ACTC--2TR2,EDP,TR 230 / 69 kV TUCUMA 2 AC,ACTC
ACTUC-2TR4,ZOP,TR 230 / 11 kV TUCUMA 4 AC,ACTC
ALART-2TR1,CHF,TR 230 / 69 kV ARAPIRACA III T1 AL,ALART
ALART-2TR3,,TR 230 / 69 kV ARAPIRACA III 3 AL,ALART
ALART-2TRT2,CHF,TR 230 / 69 kV ARAPIRACA III T2 AL,ALART
ALBERL0TR1,BRA,TR 69 / 13P8 kV RIO LARGO T1 AL,ALBERL
ALBERL0TR2,BRA,TR 69 / 13P8 kV RIO LARGO T2 AL,ALBERL
ALBERL0TR3,BRA,TR 69 / 13P8 kV RIO LARGO T3 AL,ALBERL
ALBERL0TR4,BRA,TR 69 / 13P8 kV RIO LARGO T4 AL,ALBERL
ALBERL0TR5,BRA,TR 69 / 13P8 kV RIO LARGO T5 AL,ALBERL
ALBERL0TR6,BRA,TR 69 / 13P8 kV RIO LARGO T6 AL,ALBERL
ALBERL0TR7,BRA,TR 69 / 13P8 kV RIO LARGO T7 AL,ALBERL
ALBERL0TR8,BRA,TR 69 / 13P8 kV RIO LARGO T8 AL,ALBERL
ALMCD-2TR1,CHF,TR 230 / 69 kV MACEIO II T1 AL,ALMCD
ALMCD-2TR2,CHF,TR 230 / 69 kV MACEIO II T2 AL,ALMCD
ALMCO-2TR1,CHF,TR 230 / 69 kV MACEIO T1 AL,ALMCO
ALMCO-2TR2,CHF,TR 230 / 69 kV MACEIO T2 AL,ALMCO
ALMCO-2TR3,CHF,TR 230 / 69 kV MACEIO T3 AL,ALMCO
ALMCO-2TR4,CHF,TR 230 / 69 kV MACEIO T4 AL,ALMCO
ALMSI-5TR2,CHF,TR 500 / 230 kV MESSIAS T2 AL,ALMSI
ALMSI-5TR3,CHF,TR 500 / 230 kV MESSIAS T3 AL,ALMSI
ALMSI-5TRT4,CHF,TR 500 / 230 kV MESSIAS T4 AL,ALMSI
ALPEN-2TR1,CHF,TR 230 / 69 kV PENEDO T1 AL,ALPEN
ALPEN-2TR2,CHF,TR 230 / 69 kV PENEDO T2 AL,ALPEN
ALPEN-2TR3,CHF,TR 230 / 69 kV PENEDO T3 AL,ALPEN
ALRLD-02TR4,CHF,TR 69 / 13P8 kV RIO LARGO II T4 AL,ALRLD
ALRLD-2TR1,CHF,TR 230 / 69 kV RIO LARGO II T1 AL,ALRLD
ALRLD-2TR2,CHF,TR 230 / 69 kV RIO LARGO II T4 AL,ALRLD
ALRLD-2TR3,CHF,TR 230 / 69 kV RIO LARGO II T3 AL,ALRLD
ALRLD-2TR4,CHF,TR 230 / 69 kV RIO LARGO II T2 AL,ALRLD
ALSTII2TR1,662,TR 230 / 69 kV SANTANA II T1 AL,ALSTII
ALSTII2TR2,662,TR 230 / 69 kV SANTANA II T2 AL,ALSTII
ALUXG-5TR1,CHF,TR 500 / 18 kV USINA XINGO T1 AL,ALUXG
ALUXG-5TR2,CHF,TR 500 / 18 kV USINA XINGO T2 AL,ALUXG
ALUXG-5TR3,CHF,TR 500 / 18 kV USINA XINGO T3 AL,ALUXG
ALUXG-5TR4,CHF,TR 500 / 18 kV USINA XINGO T4 AL,ALUXG
ALUXG-5TR5,CHF,TR 500 / 18 kV USINA XINGO T5 AL,ALUXG
ALUXG-5TR6,CHF,TR 500 / 18 kV USINA XINGO T6 AL,ALUXG
ALZBD-204T1,,TR 230 / 69 kV ZEBU 2 T1 AL,ALZBD
ALZBD-2T3,,TR 230 / 69 kV ZEBU 2 T3 AL,ALZBD
ALZBD-2TRT2,,TR 230 / 69 kV ZEBU 2 T2 AL,ALZBD
ALZBII5TR1,,TR 500 / 230 kV ZEBU III 1 AL,ALZBII
ALZBII5TR2,,TR 500 / 230 kV ZEBU III 2 AL,ALZBII
ALZBU-1TR1,CHF,TR 138 / 69 kV ZEBU 138_69 T1 AL,ALZEBU
ALZBU-1TR6,CHF,TR 138 / 69 kV ZEBU 138_69 T6 AL,ALZEBU
ALZBU-2TR1,CHF,TR 230 / 69 kV ZEBU T1X AL,BAZBU
ALZBU-2TR2,CHF,TR 230 / 69 kV ZEBU T2 AL,BAZBU
ALZBU-2TR3,CHF,TR 230 / 69 kV ZEBU T3 AL,BAZBU
ALZBU-2TR4,,TR 230 / 69 kV ZEBU 4 AL,BAZBU
ALZBU-2TRT1,CHF,TR 230 / 69 kV ZEBU T1 AL,BAZBU
AMAA--0TF1,EPE,TR 69 / 13P8 kV APARECIDA TF1 AM,AMAA
AMAA--0TF5,ENT,TR 69 / 13P8 kV APARECIDA TF5 AM,AMAA
AMAA--0TF6,EPE,TR 69 / 13P8 kV APARECIDA TF6 AM,AMAA
AMAA--0TF7,EPE,TR 69 / 13P8 kV APARECIDA TF7 AM,AMAA
AMAA--0TF8,EPE,TR 69 / 13P8 kV APARECIDA TF8 AM,AMAA
AMBA--2TF1,ENT,TR 230 / 13P8 kV BALBINA TF1 AM,AMBA
AMBA--2TF2,ENT,TR 230 / 13P8 kV BALBINA TF2 AM,AMBA
AMBA--2TF3,ENT,TR 230 / 13P8 kV BALBINA TF3 AM,AMBA
AMBA--2TF4,ENT,TR 230 / 13P8 kV BALBINA TF4 AM,AMBA
AMBA--2TF5,ENT,TR 230 / 13P8 kV BALBINA TF5 AM,AMBA
AMCM--2601,EPE,TR 230 / 16P5 kV UTE MAUA 3 601 AM,AMCM
AMCM--2602,EPE,TR 230 / 16P5 kV UTE MAUA 3 602 AM,AMCM
AMCM--2603,EPE,TR 230 / 18 kV UTE MAUA 3 603 AM,AMCM
AMCR--2TF1,JEF,TR 230 / 13P8 kV PORAQUE TF1 AM,AMCR
AMCR--2TF2,JEF,TR 230 / 13P8 kV PORAQUE TF2 AM,AMCR
AMCRR-2TR4,ENT,TR 230 / 138 kV LECHUGA 601 AM,AMCRR
AMCRR-2TR5,ENT,TR 230 / 138 kV LECHUGA 602 AM,AMCRR
AMCRR-2TR6,ENT,TR 230 / 138 kV LECHUGA 603 AM,AMCRR
AMCRR-5TR1,QVR,TR 500 / 230 kV LECHUGA 701 AM,AMCRR
AMCRR-5TR2,QVR,TR 500 / 230 kV LECHUGA 702 AM,AMCRR
AMCRR-5TR3,QVR,TR 500 / 230 kV LECHUGA 703 AM,AMCRR
AMFG--2TF1,ENT,TR 230 / 13P8 kV PR.FIGUEIREDO TF1A AM,AMFG
AMFG--2TF2,G20,TR 230 / 13P8 kV PR.FIGUEIREDO TF1 AM,AMFG
AMFG--2TR1,G20,TR 230 / 69 kV PR.FIGUEIREDO 1 AM,AMFG
AMFG--2TR2,G20,TR 230 / 69 kV PR.FIGUEIREDO 2 AM,AMFG
AMGE--0TR1,JEF,TR 69 / 13P8 kV PONTA NEGRA 1 AM,AMGE
AMGE--0TR2,JEF,TR 69 / 13P8 kV PONTA NEGRA 2 AM,AMGE
AMITR-5TR1,QVR,TR 500 / 138 kV SILVES 1 AM,AMITR
AMJA--0TF1,JEF,TR 69 / 13P8 kV UTE JARAQUI TF1 AM,AMJA
AMJA--0TF2,JEF,TR 69 / 13P8 kV UTE JARAQUI TF2 AM,AMJA
AMJP--1T501,ME,TR 138 / 69 kV JOAO PAULO AT501 AM,AMJP
AMJP--1T502,ME,TR 138 / 69 kV JOAO PAULO AT502 AM,AMJP
AMJT--2TR1,G20,TR 230 / 138 kV JORG.TEIXEIRA 1 AM,AMJTX
AMJT--2TR2,G20,TR 230 / 138 kV JORG.TEIXEIRA 2 AM,AMJTX
AMJTX-2TR3,G20,TR 230 / 138 kV JORG.TEIXEIRA 3 AM,AMJTX
AMJTX-2TR4,G20,TR 230 / 138 kV JORG.TEIXEIRA 4 AM,AMJTX
AMMA--0TF1,JEF,TR 69 / 13P8 kV PIRARUCU TF1 AM,AMMA
AMMA--0TF2,JEF,TR 69 / 13P8 kV PIRARUCU TF2 AM,AMMA
AMMN--0TF41,GEA,TR 69 / 7P7 kV MANAUS TF41 AM,AMMN
AMMN--2TF1,G20,TR 230 / 69 kV MANAUS TF1 AM,AMMN
AMMN--2TF2,G20,TR 230 / 69 kV MANAUS TF2 AM,AMMN
AMMN--2TF3,G20,TR 230 / 69 kV MANAUS TF3 AM,AMMN
AMMN--2TF4,G20,TR 230 / 69 kV MANAUS TF4 AM,AMMN
AMMN--2TR4,AG,TR 230 / 138 kV MANAUS 4 AM,AMMN
AMMT--1TF01,ME,TR 138 / 69 kV MAUA III TF01 AM,AMMT
AMMT--1TF02,ME,TR 138 / 69 kV MAUA III TF02 AM,AMMT
AMMT--1TF03,ME,TR 138 / 69 kV MAUA III TF03 AM,AMMT
AMMT--1TF04,ME,TR 138 / 69 kV MAUA III TF04 AM,AMMT
AMMT--2TF1,G20,TR 230 / 138 kV MAUA III 1 AM,AMMT
AMMT--2TF2,G20,TR 230 / 138 kV MAUA III 2 AM,AMMT
AMMT--2TR3,G20,TR 230 / 138 kV MAUA III 3 AM,AMMT
AMMT--2TR4,G20,TR 230 / 138 kV MAUA III 4 AM,AMMT
AMMT--2TR5,G20,TR 230 / 138 kV MAUA III 5 AM,AMMT
AMMU--04,ENT,TR 69 / 13P8 kV MAUA BLOCO 3 4 AM,AMMU3
AMMU--05,ENT,TR 69 / 13P8 kV MAUA BLOCO 3 5 AM,AMMU3
AMMU--0TF6,ENT,TR 69 / 13P8 kV MAUA BLOCO 4 TF6 AM,AMMU
AMMU--0TF7,ENT,TR 69 / 13P8 kV MAUA BLOCO 4 TF7 AM,AMMU
AMMU--0TF8,ENT,TR 69 / 13P8 kV MAUA BLOCO 4 TF8 AM,AMMU
AMMU--0TF9,ENT,TR 69 / 13P8 kV MAUA BLOCO 4 TF9 AM,AMMU
AMPAR-2TR1,CRE,TR 230 / 138 kV PARINTINS 3 AM,AMPAR
AMPAR-2TR2,CRE,TR 230 / 138 kV PARINTINS 4 AM,AMPAR
AMRE--0TF01,ME,TR 69 / 13P8 kV REDENCAO TF401 AM,AMRE
AMRE--0TF02,ME,TR 69 / 13P8 kV REDENCAO TF402 AM,AMRE
AMRE--0TF03,ME,TR 69 / 13P8 kV REDENCAO TF403 AM,AMRE
AMSG--0TF01,ME,TR 69 / 13P8 kV SERINGAL MIRIM TF401 AM,AMSG
AMSG--0TF02,ME,TR 69 / 13P8 kV SERINGAL MIRIM TF402 AM,AMSG
AMSG--0TF03,ME,TR 69 / 13P8 kV SERINGAL MIRIM TF403 AM,AMSG
AMSG--0TF04,ME,TR 69 / 13P8 kV SERINGAL MIRIM TF404 AM,AMSG
AMSIL-52,,TR 500 / 138 kV SILVES 2 AM,AMITR
AMSIL-5TF2,QVR,TR 500 / 20 kV SILVES TF1 AM,AMITR
AMTA--0TF1,JEF,TR 69 / 13P8 kV TAMBAQUI TF1 AM,AMTA
AMTA--0TF2,JEF,TR 69 / 13P8 kV TAMBAQUI TF2 AM,AMTA
AMTRM-2TR1,G20,TR 230 / 138 kV TARUMA AT01 AM,AMTRM
AMTRM-2TR2,G20,TR 230 / 138 kV TARUMA AT02 AM,AMTRM
AMUTAZ50BAT,MP1,TR 500 / 18 kV UTE AZULAO II 20BAT AM,AMUTZ2
AMUTAZ51BAT,MP1,TR 500 / 26 kV UTE AZULAO 11BAT AM,AMUTAZ
AMUTAZ51BAT--------1,MP1,TR 500 / 26 kV UTE AZULAO II 21BAT AM,AMUTZ2
AMUTMU1TR1,JAM,TR 138 / 13P8 kV UTE MANAUS I 1 AM,MAUTMU
AMUTMU1TR2,JAM,TR 138 / 13P8 kV UTE MANAUS I 2 AM,MAUTMU
AMUTMU1TR3,JAM,TR 138 / 13P8 kV UTE MANAUS I 3 AM,MAUTMU
APCN--1TF02,ENT,TR 138 / 13P2 kV US.COA.NUNES 02 AP,APCN
APCN--1TR01,ENT,TR 138 / 13P2 kV US.COA.NUNES 01 AP,APCN
APFGO-2TR1,AFN,TR 230 / 13P8 kV FERREI.GOMES 1 AP,APFGO
APFGO-2TR2,AFN,TR 230 / 13P8 kV FERREI.GOMES 2 AP,APFGO
APFGO-2TR3,AFN,TR 230 / 13P8 kV FERREI.GOMES 3 AP,APFGO
APLAL-2TR1,G20,TR 230 / 69 kV LARANJAL 1 AP,APLAL
APLAL-2TR2,G20,TR 230 / 69 kV LARANJAL 2 AP,APLAL
APMCP-2TCE1,G20,TR 230 / 15P5 kV MACAPA CE1 AP,APMCP
APMCP-2TR1,G20,TR 230 / 69 kV MACAPA 1 AP,APMCP
APMCP-2TR2,G20,TR 230 / 69 kV MACAPA 2 AP,APMCP
APMCP-2TR3,G20,TR 230 / 69 kV MACAPA 3 AP,APMCP
APMCP-2TRR4,G20,TR 230 / 69 kV MACAPA R4 AP,APMCP
APMCT-2TR1,G20,TR 230 / 69 kV MACAPA III 1 AP,APMCT
APMCT-2TR2,G20,TR 230 / 69 kV MACAPA III 2 AP,APMCT
APSA--0TF01,ENT,TR 69 / 13P8 kV SANTANA BL II TF01 AP,APS2
APSA--0TF03,ENT,TR 69 / 13P8 kV SANTANA BL II TF03 AP,APS2
APSA--0TF04,ENT,TR 69 / 13P8 kV SANTANA BL I TF04 AP,APSA
APSA--0TF05,ENT,TR 69 / 13P8 kV SANTANA BL I TF05 AP,APSA
APSAJ-0TF3,EDP,TR 13P8 / 13P8 kV STO.ANT.JARI TF3 AP,APSAJ
APSAJ-0TR4,EDP,TR 13P8 / 4P16 kV STO.ANT.JARI 4 AP,APSAJ
APSAJ-2TR1,EDP,TR 230 / 13P8 kV STO.ANT.JARI 1 AP,APSAJ
APSAJ-2TR2,EDP,TR 230 / 13P8 kV STO.ANT.JARI 2 AP,APSAJ
APSAJ-2TR3,EDP,TR 230 / 13P8 kV STO.ANT.JARI 3 AP,APSAJ
APSI--0TR1,CEA,TR 69 / 13P8 kV SE SANTA RITA 1 AP,APSI
APSI--0TR2,CEA,TR 69 / 13P8 kV SE SANTA RITA 2 AP,APSI
APSI--0TR3,CEA,TR 69 / 13P8 kV SE SANTA RITA 3 AP,APSI
APST--1T01,CEA,TR 138 / 69 kV SE SANTANA 03T1 AP,APST
APST--1T02,CEA,TR 138 / 69 kV SE SANTANA 03T2 AP,APST
APST--1TF01,CEA,TR 138 / 69 kV SE SANTANA 03T3 AP,APST
APUCCA2TR1,EDP,TR 230 / 13P8 kV C.CALDEIRAO 1 AP,APUCCA
APUCCA2TR2,EDP,TR 230 / 13P8 kV C.CALDEIRAO 2 AP,APUCCA
APUCCA2TR3,EDP,TR 230 / 13P8 kV C.CALDEIRAO 3 AP,APUCCA
APUTSN0TR3,ENT,TR 69 / 13P8 kV SANTANA 3 AP,APUTSN
ARRI--51,LYA,TR 500 / 18 kV RINCON S. M. 1 AR,ARRI
BAABD-2TRT2,EEL,TR 230 / 34P5 kV ABIL II T2 BA,BAABD
BAABD-2TRT2,EEL,TR 230 / 34P5 kV ABIL II TX2 BA,BAABD
BAABL-2TR1,EEL,TR 230 / 34P5 kV ABIL-I T1 BA,BAABL
BAABX-02TR3,CHF,TR 69 / 13P8 kV ABAIXADORA T3 BA,BAABX
BAABX-02TR6,CHF,TR 69 / 13P8 kV ABAIXADORA T6 BA,BAABX
BAABX-0TRS1,CHF,TR 69 / 69 kV ABAIXADORA R1 BA,BAABX
BAABX-2TR2,CHF,TR 230 / 69 kV ABAIXADORA T2 BA,BAABX
BAABX-2TR2F1,CHF,TR 230 / 69 kV ABAIXADORA 1 BA,BAABX
BAALC-2TRT1,,TR 230 / 34P5 kV ALCA�UZ T1 BA,BAALC1
BAALC-2TRT2,,TR 230 / 34P5 kV ALCA�UZ T2 BA,BAALC1
BAALD-2TRT1,662,TR 230 / 69 kV ALAGOINHAS II T1 BA,BAALG
BAALD-2TRT2,662,TR 230 / 69 kV ALAGOINHAS II T2 BA,BAALG
BAALG-2TR1,662,TR 230 / 69 kV ALAGOINHAS II 1 BA,BAALG
BAALG-2TR2,,TR 230 / 69 kV ALAGOINHAS II 2 BA,BAALG
BAALV-0TR1,BRN,TR 69 / 34P5 kV ALVORADA T1 BA,BAALV
BAALV-0TR2,BRN,TR 69 / 34P5 kV ALVORADA T2 BA,BAALV
BAARA-2T1,AOP,TR 230 / 34P5 kV ARACAS T1 BA,BAARA
BAARA-2T2,AOP,TR 230 / 34P5 kV ARACAS T2 BA,BAARA
BAARI-5T1,DRA,TR 500 / 34P5 kV ARIZONA T1 BA,BAARI
BAARO-505T2,ENL,TR 500 / 34P5 kV AROEIRA T2 BA,BAARO
BAARO-5TRT1,ENL,TR 500 / 34P5 kV AROEIRA T1 BA,BAARO
BAASU-1TRT1,GEN,TR 138 / 34P5 kV ASSURUA T1 BA,BAASU
BABAB-2TR1,CYM,TR 230 / 34P5 kV BABILONIA T1 BA,BABAB
BABAB-2TR2,CYM,TR 230 / 34P5 kV BABILONIA T2 BA,BABAB
BABAR-5TR1,,TR 500 / 138 kV BARRA II 1 BA,BABAR
BABAR-5TR2,,TR 500 / 138 kV BARRA II 2 BA,BABAR
BABBC-5TRT1,CVR,TR 500 / 34P5 kV BABIL. CENTRO T1 BA,BABBC
BABBC-5TRT2,CVR,TR 500 / 34P5 kV BABIL. CENTRO T2 BA,BABBC
BABBS-2TRT1,CVR,TR 230 / 34P5 kV BABILONIA SUL T2 BA,BABBS
BABBS-2TRT1--------1,CVR,TR 230 / 34P5 kV BABILONIA SUL T1 BA,BABBS
BABDD-2TR1,CDR,TR 230 / 69 kV BRUMADO II T1 BA,BABDD
BABDD-2TR2,CDR,TR 230 / 69 kV BRUMADO II T2 BA,BABDD
BABDD-2TR3,CDR,TR 230 / 138 kV BRUMADO II T4 BA,BABDD
BABDD-2TR4,CDR,TR 230 / 138 kV BRUMADO II T5 BA,BABDD
BABDD-2TRT6,,TR 230 / 138 kV BRUMADO II T6 BA,BABDD
BABDU-1TRT1,CBA,TR 138 / 69 kV BRUMADO I T1 BA,BABDI
BABDU-1TRT2,CBA,TR 138 / 13P8 kV BRUMADO I T2 BA,BABDI
BABJD-5TR1,TAE,TR 500 / 230 kV BOM.JES.LAPA II T1 BA,BABJD
BABJD-5TR2,TAE,TR 500 / 230 kV BOM.JES.LAPA II T2 BA,BABJD
BABJD-5TR3,,TR 500 / 230 kV BOM.JES.LAPA II 3 BA,BABJD
BABJD-5TRC1,TAE,TR 500 / 17P5 kV BOM.JES.LAPA II T3 BA,BABJD
BABJD-5TRT4,TAE,TR 500 / 230 kV BOM.JES.LAPA II T4 BA,BABJD
BABJL-0T1,VIS,TR 69 / 34P5 kV BJL SOLAR T1 BA,BABJL
BABJS-02TR1,CHF,TR 69 / 69 kV B.JESUS LAPA R1 BA,BABJS
BABJS-02TR2,CHF,TR 69 / 69 kV B.JESUS LAPA R2 BA,BABJS
BABJS-02TR4,CHF,TR 69 / 69 kV B.JESUS LAPA R4 BA,BABJS
BABJS-2T2B,,TR 230 / 69 kV B.JESUS LAPA T2B BA,BABJS
BABJS-2T4A,CHF,TR 230 / 69 kV B.JESUS LAPA T4 BA,BABJS
BABJS-2TR1,CHF,TR 230 / 69 kV B.JESUS LAPA T1 BA,BABJS
BABJS-2TR2,CHF,TR 230 / 69 kV B.JESUS LAPA T2 BA,BABJS
BABJS-2TR3,CHF,TR 230 / 69 kV B.JESUS LAPA T3 BA,BABJS
BABJS-2TR4,,TR 230 / 138 kV B.JESUS LAPA 9A BA,BABJS
BABJS-2TR4,CHF,TR 230 / 69 kV B.JESUS LAPA T4A BA,BABJS
BABJS-2TR5,,TR 230 / 138 kV B.JESUS LAPA 5 BA,BABJS
BABJS-2TR6,CHF,TR 230 / 13P8 kV B.JESUS LAPA T6 BA,BABJS
BABJS-2TR7,CHF,TR 230 / 69 kV B.JESUS LAPA 7 BA,BABJS
BABJS-2TR7,CHF,TR 230 / 69 kV B.JESUS LAPA 1A BA,BABJS
BABJU-0TR1,200,TR 69 / 34P5 kV BOM JESUS T1 BA,BABJU
BABMC-2TR1,099,TR 230 / 34P5 kV BROTAS.MACAUBAS T1 BA,BABMC
BABOT-2TRT1,,TR 230 / 34P5 kV BOTUQUARA T1 BA,BABOT
BABRA-2TR1,CHF,TR 230 / 69 kV BARREIRAS T1 BA,BABRA
BABRA-2TR2,CHF,TR 230 / 69 kV BARREIRAS T2 BA,BABRA
BABRA-2TR3,CHF,TR 230 / 138 kV BARREIRAS T3 BA,BABRA
BABRA-2TR4,CHF,TR 230 / 138 kV BARREIRAS T4 BA,BABRA
BABRA-2TR6,,TR 230 / 138 kV BARREIRAS 5 BA,BABRA
BABRD-5TR1,TAE,TR 500 / 230 kV BARREIRAS II T1 BA,BABRD
BABRD-5TRT2,TAE,TR 500 / 230 kV BARREIRAS II T2 BA,BABRD
BABRD-5TRT3,TAE,TR 500 / 230 kV BARREIRAS II T3 BA,BABRD
BABRT-5TRT1,EEH,TR 500 / 34P5 kV BARREIRAS III TR1 BA,BABRT1
BABW1-0TR1,G20,TR 69 / 34P5 kV BW GUIRAPA I T1 BA,BABW1
BABW1-0TR2,G20,TR 69 / 34P5 kV BW GUIRAPA I T2 BA,BABW1
BABW1-0TR3,G20,TR 69 / 34P5 kV BW GUIRAPA I T3 BA,BABW1
BABW2-0TR1,G20,TR 69 / 34P5 kV BW GUIRAPA II T1 BA,BABW2
BABW2-0TR2,G20,TR 69 / 34P5 kV BW GUIRAPA II T2 BA,BABW2
BABW2-0TR3,G20,TR 69 / 34P5 kV BW GUIRAPA II T3 BA,BABW2
BACAN-5TRT1,189,TR 500 / 34P5 kV CANUDOS I T1 BA,BACAN
BACCD-02TR1,CHF,TR 69 / 69 kV CICERO DANTAS R1 BA,BACCD
BACCD-0TR3,CHF,TR 69 / 13P8 kV CICERO DANTAS 02T5 BA,BACCD
BACCD-2TR1,CHF,TR 230 / 69 kV CICERO DANTAS T1 BA,BACCD
BACCD-2TR2,CHF,TR 230 / 69 kV CICERO DANTAS T2A BA,BACCD
BACCD-2TR3,CHF,TR 230 / 69 kV CICERO DANTAS T3 BA,BACCD
BACCD-2TR4,CHF,TR 230 / 69 kV CICERO DANTAS T4 BA,BACCD
BACCD-2TR5,CHF,TR 230 / 69 kV CICERO DANTAS T2 BA,BACCD
BACFO-2TR1,200,TR 230 / 34P5 kV CAMPO FORMOSO T1 BA,BACFO
BACFO-2TR2,200,TR 230 / 34P5 kV CAMPO FORMOSO T2 BA,BACFO
BACLA-2T3A,GSU,TR 230 / 34P5 kV CAMPO LARGO T3 BA,BACLA
BACLA-2T4A,GSU,TR 230 / 34P5 kV CAMPO LARGO T4 BA,BACLA
BACLA-2TR1,GSU,TR 230 / 34P5 kV CAMPO LARGO T1 BA,BACLA
BACLA-2TR2,GSU,TR 230 / 34P5 kV CAMPO LARGO T2 BA,BACLA
BACLA-2TRT3,GSU,TR 230 / 34P5 kV CAMPO LARGO T3X BA,BACLA
BACLA-2TRT4,GSU,TR 230 / 34P5 kV CAMPO LARGO T4X BA,BACLA
BACMC-1TR1,CBA,TR 138 / 69 kV CAMACA T1 BA,BACMC
BACMC-1TR2,CBA,TR 138 / 69 kV CAMACA T2 BA,BACMC
BACMD-0TR8,CHF,TR 69 / 13P8 kV CAMACARI II T8X BA,BACMD
BACMD-2T10,MEP,TR 230 / 69 kV CAMACARI II T10 BA,BACMD
BACMD-2TR5,CHF,TR 230 / 69 kV CAMACARI II T5 BA,BACMD
BACMD-2TR5A,MEP,TR 230 / 69 kV CAMACARI II 5AX BA,BACMD
BACMD-2TR6,CHF,TR 230 / 69 kV CAMACARI II T6 BA,BACMD
BACMD-2TR6A,MEP,TR 230 / 69 kV CAMACARI II 6AX BA,BACMD
BACMD-2TR7,CHF,TR 230 / 13P8 kV CAMACARI II T7 BA,BACMD
BACMD-2TR9,MEP,TR 230 / 69 kV CAMACARI II T9 BA,BACMD
BACMD-5TR1,CHF,TR 500 / 230 kV CAMACARI II T1 BA,BACMD
BACMD-5TR2,CHF,TR 500 / 230 kV CAMACARI II T2 BA,BACMD
BACMD-5TR3,CHF,TR 500 / 230 kV CAMACARI II T3 BA,BACMD
BACMD-5TR4,CHF,TR 500 / 230 kV CAMACARI II T4 BA,BACMD
BACMI-2TR1,MCA,TR 230 / 13P8 kV C.MINERACAO T1 BA,BACMI
BACMI-2TR2,MCA,TR 230 / 13P8 kV C.MINERACAO T2 BA,BACMI
BACMQ-5TR1,CHF,TR 500 / 230 kV CAMACARI IV T1 BA,BACMQ
BACMQ-5TR2,CHF,TR 500 / 230 kV CAMACARI IV T2 BA,BACMQ
BACMU-0T1,CBA,TR 69 / 13P8 kV CAMACARI I T1 BA,BACMU
BACMU-0TRT2,CBA,TR 69 / 13P8 kV CAMACARI I T2 BA,BACMU
BACND-2TRT1,CHF,TR 230 / 34P5 kV CASA NOVA II T1 BA,BACND
BACPBR2TR1,DRA,TR 230 / 34P5 kV PEDRA BRANCA T1 BA,BACPBR
BACRI-0TR1,ENL,TR 69 / 34P5 kV CRISTAL T1 BA,BACRI
BACRI-0TR2,ENL,TR 69 / 34P5 kV CRISTAL T2 BA,BACRI
BACRL-2TR1,200,TR 230 / 34P5 kV CRISTALANDIA T1 BA,BACRL
BACTA-2TR1,SMM,TR 230 / 34P5 kV CAETITE A T1 BA,BACTA
BACTE-0TR1,AOP,TR 69 / 34P5 kV CAETITE T1 BA,BACTE
BACTE-0TR2,AOP,TR 69 / 34P5 kV CAETITE T2 BA,BACTE
BACTG-02TR8,CHF,TR 69 / 13P8 kV COTEGIPE T8 BA,BACTG
BACTG-2T1,CHF,TR 230 / 69 kV COTEGIPE T1 BA,BACTG
BACTG-2TR2,CHF,TR 230 / 69 kV COTEGIPE T2 BA,BACTG
BACTG-2TR4,CHF,TR 230 / 69 kV COTEGIPE T4X BA,BACTG
BACTG-2TR4P,CHF,TR 230 / 69 kV COTEGIPE T4 BA,BACTG
BACTG-2TR5,CHF,TR 230 / 69 kV COTEGIPE T5 BA,BACTG
BACTG-2TR5,ONS,TR 230 / 69 kV COTEGIPE T3X BA,BACTG
BACTG-2TR6,,TR 230 / 69 kV COTEGIPE 6 BA,BACTG
BACTG-2TRT3,CHF,TR 230 / 69 kV COTEGIPE T3 BA,BACTG
BACTN-2TRT,SMM,TR 230 / 34P5 kV CAETITE NORTE T1 BA,BACTN
BACTT-2TR1,FEB,TR 230 / 34P5 kV CAETITE 123 1 BA,BACTT
BACTU-2TR1,CHF,TR 230 / 69 kV CATU T1 BA,BACTU
BACTU-2TR2,CHF,TR 230 / 69 kV CATU T2 BA,BACTU
BACTU-2TR3,CHF,TR 230 / 69 kV CATU T3 BA,BACTU
